Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第1節,京都サンガF.C.,アルビレックス新潟,0,0,0,1,2019.2.24 14:00 Kick Off,晴,全面良芝,"14,069人",18℃,37.0%,35.3%,29.5%,35.6%,30.7%,39.1%,14.00,12.93,0.52,0.55,4.89,0.00,88.16,11.00,0.56,0.974,12,(0.0%),4,0,399,(71.4%),11,(18.2%),6,2,3,17,(58.8%),6,(50.0%),35,(62.9%),10,3,7,1,0,31,13,110,10.9%,35.1%
第2節,ジェフユナイテッド千葉,アルビレックス新潟,1,4,0,3,2019.3.3 14:00 Kick Off,雨,全面良芝,"12,441人",8.8℃,34.0%,38.0%,49.6%,26.9%,32.2%,29.9%,11.56,10.05,1.09,0.43,8.54,15.97,107.52,16.00,0.25,1.25,13,(30.8%),6,0,349,(72.2%),13,(15.4%),17,1,3,12,(83.3%),10,(10.0%),23,(78.3%),17,2,3,0,0,22,9,120,10.8%,35.4%
第3節,アルビレックス新潟,柏レイソル,0,1,1,0,2019.3.9 14:00 Kick Off,晴,全面良芝,"20,486人",12.5℃,39.5%,54.9%,36.7%,46.6%,43.1%,49.5%,13.28,11.40,0.49,1.39,6.34,0.00,61.11,19.72,0.34,0.751,9,(0.0%),2,0,406,(64.0%),19,(15.8%),14,1,6,34,(79.4%),14,(50.0%),13,(69.2%),17,1,0,1,0,28,10,129,7.0%,44.5%
第4節,横浜ＦＣ,アルビレックス新潟,1,2,0,3,2019.3.16 14:00 Kick Off,曇のち晴,全面良芝,"6,222人",14.9℃,48.0%,31.4%,60.2%,48.4%,34.4%,42.7%,10.49,8.75,0.00,1.74,11.40,2.92,79.02,17.70,0.80,1.876,13,(15.4%),7,1,347,(69.2%),7,(0.0%),18,1,5,17,(76.5%),11,(63.6%),18,(66.7%),20,2,4,0,0,33,8,117,11.1%,44%
第5節,アルビレックス新潟,アビスパ福岡,0,1,1,0,2019.3.23 14:00 Kick Off,曇時々晴,全面良芝,"11,740人",8.6℃,42.2%,40.2%,66.9%,37.7%,52.7%,35.6%,21.79,15.41,3.95,2.43,7.13,0.00,83.83,17.74,0.17,1.747,18,(0.0%),3,0,440,(78.9%),20,(35.0%),4,1,2,21,(85.7%),6,(83.3%),22,(68.2%),24,1,4,1,0,45,20,103,17.5%,45.1%
第6節,徳島ヴォルティス,アルビレックス新潟,1,0,0,0,2019.3.30 14:00 Kick Off,雨,全面良芝,"4,088人",14.3℃,41.8%,48.4%,38.1%,47.0%,52.5%,62.6%,17.27,14.32,2.18,0.77,1.11,0.00,126.07,13.45,0.19,0.719,7,(0.0%),1,0,543,(75.5%),20,(20.0%),14,0,4,29,(86.2%),11,(45.5%),32,(75.0%),17,3,2,2,0,40,8,144,4.9%,49%
第7節,アルビレックス新潟,ＦＣ町田ゼルビア,1,0,1,3,2019.4.3 19:00 Kick Off,曇,全面良芝,"8,777人",8.9℃,51.6%,46.8%,46.9%,48.4%,51.2%,47.7%,6.30,5.62,0.00,0.68,7.20,3.44,87.80,15.78,0.54,1.268,12,(8.3%),3,0,284,(49.3%),14,(0.0%),15,0,4,23,(69.6%),10,(30.0%),36,(52.8%),28,2,10,1,0,17,8,137,8.8%,48.5%
第8節,ファジアーノ岡山,アルビレックス新潟,3,3,0,1,2019.4.7 13:00 Kick Off,晴,全面良芝,"6,545人",24.1℃,44.4%,52.8%,47.6%,41.5%,60.6%,48.6%,12.26,10.66,1.09,0.51,9.05,7.89,84.96,9.22,2.66,1.836,16,(18.8%),6,0,418,(71.1%),15,(13.3%),19,3,4,32,(62.5%),12,(25.0%),14,(64.3%),16,2,3,1,0,31,8,135,11.9%,49%
第9節,アルビレックス新潟,モンテディオ山形,2,2,1,1,2019.4.13 14:00 Kick Off,晴,全面良芝,"15,186人",15.4℃,52.3%,39.7%,56.8%,45.7%,65.9%,58.6%,15.12,10.36,2.76,2.00,6.00,4.14,107.75,14.07,0.24,1.576,13,(15.4%),4,0,488,(67.2%),23,(21.7%),9,0,6,41,(75.6%),14,(42.9%),27,(66.7%),14,4,1,0,0,30,8,153,8.5%,54%
第10節,東京ヴェルディ,アルビレックス新潟,1,1,0,1,2019.4.20 14:00 Kick Off,晴,全面良芝,"6,085人",17.7℃,38.7%,60.8%,51.3%,44.1%,42.1%,53.2%,19.33,16.02,0.54,2.76,9.70,1.30,86.20,14.03,0.12,1.66,15,(6.7%),4,0,560,(81.4%),22,(4.5%),12,1,4,29,(93.1%),16,(68.8%),31,(71.0%),22,1,4,0,0,47,5,117,12.8%,48.6%
第11節,水戸ホーリーホック,アルビレックス新潟,0,0,0,1,2019.4.28 14:00 Kick Off,晴,全面良芝,"9,023人",15.8℃,50.9%,38.4%,60.6%,55.1%,57.7%,56.1%,16.38,13.30,2.23,0.84,8.45,0.00,126.21,13.29,0.24,1.054,11,(0.0%),4,0,532,(74.6%),26,(15.4%),16,1,6,29,(75.9%),14,(42.9%),36,(77.8%),25,2,1,2,0,41,10,144,7.6%,53%
第12節,アルビレックス新潟,レノファ山口ＦＣ,2,0,1,3,2019.5.4 14:00 Kick Off,晴,全面良芝,"20,121人",17℃,61.9%,54.4%,39.4%,39.4%,47.3%,44.1%,12.07,10.06,1.03,0.98,11.02,6.97,107.06,13.67,1.51,1.214,12,(16.7%),8,0,436,(72.9%),10,(20.0%),13,0,2,36,(86.1%),10,(40.0%),24,(70.8%),16,2,6,1,0,28,12,138,8.7%,47.6%
第13節,Ｖ・ファーレン長崎,アルビレックス新潟,3,2,0,0,2019.5.11 14:00 Kick Off,晴,全面良芝,"7,617人",27.6℃,61.8%,64.0%,41.2%,65.0%,60.1%,75.2%,24.05,21.30,0.96,1.80,5.04,2.92,79.26,9.71,0.03,1.817,10,(20.0%),3,1,696,(84.5%),20,(10.0%),10,4,4,25,(92.0%),13,(53.8%),15,(80.0%),11,5,3,3,0,55,10,114,8.8%,61%
第14節,アルビレックス新潟,愛媛ＦＣ,2,3,1,0,2019.5.18 14:00 Kick Off,晴,全面良芝,"12,323人",25℃,64.3%,49.9%,59.5%,29.7%,51.9%,67.0%,18.89,15.60,1.68,1.62,8.56,6.15,86.10,11.88,0.27,1.25,15,(13.3%),7,0,568,(82.6%),14,(21.4%),10,0,6,21,(85.7%),8,(50.0%),18,(66.7%),11,4,4,1,0,40,13,111,13.5%,53.2%
第15節,ＦＣ琉球,アルビレックス新潟,2,1,0,0,2019.5.25 19:30 Kick Off,晴,全面良芝,"5,107人",25.1℃,35.7%,48.6%,42.1%,56.6%,50.1%,56.3%,13.20,10.48,2.61,0.12,6.17,2.61,77.66,13.13,0.25,1.515,12,(8.3%),3,0,441,(76.0%),15,(33.3%),15,0,2,27,(66.7%),11,(9.1%),21,(76.2%),17,1,3,0,0,33,11,128,9.4%,48.7%
第16節,アルビレックス新潟,ヴァンフォーレ甲府,0,2,1,0,2019.6.1 14:00 Kick Off,晴,全面良芝,"12,018人",24.4℃,65.3%,56.3%,46.9%,65.9%,61.3%,66.4%,18.43,15.78,0.99,1.66,5.82,0.00,90.22,10.05,0.19,1.262,12,(0.0%),2,0,581,(84.5%),20,(10.0%),12,0,5,29,(79.3%),12,(50.0%),20,(75.0%),15,1,0,1,0,51,9,117,10.3%,59.7%
第17節,ＦＣ岐阜,アルビレックス新潟,1,3,0,3,2019.6.8 15:00 Kick Off,晴,全面良芝,"7,307人",25.7℃,61.9%,40.3%,31.1%,37.0%,30.1%,48.5%,14.99,10.47,2.68,1.83,9.18,5.65,103.87,14.18,0.09,2.604,15,(13.3%),7,0,385,(73.2%),16,(37.5%),8,0,4,27,(96.3%),7,(57.1%),22,(86.4%),33,0,0,0,0,27,9,119,12.6%,41%
第18節,アルビレックス新潟,栃木ＳＣ,2,0,1,3,2019.6.15 19:00 Kick Off,雨,全面良芝,"14,112人",21.1℃,63.3%,63.8%,68.4%,71.3%,35.1%,50.9%,17.19,15.53,0.57,1.09,6.98,1.54,80.67,10.56,0.04,2.027,13,(15.4%),5,1,547,(76.1%),20,(5.0%),16,0,3,26,(96.2%),11,(54.5%),24,(58.3%),19,2,3,0,0,46,13,118,11.0%,58.7%
第19節,ツエーゲン金沢,アルビレックス新潟,2,1,0,0,2019.6.22 18:00 Kick Off,曇一時雨,良芝,"8,410人",23.9℃,53.5%,55.1%,52.5%,63.7%,72.7%,66.1%,18.51,14.62,2.20,1.69,5.71,1.23,61.87,17.31,0.03,1.939,14,(7.1%),3,0,516,(78.9%),21,(19.0%),14,1,10,26,(80.8%),13,(61.5%),18,(55.6%),16,3,1,1,0,36,14,128,10.9%,60.7%
第20節,鹿児島ユナイテッドＦＣ,アルビレックス新潟,1,3,0,3,2019.6.29 19:00 Kick Off,曇,全面良芝,"5,133人",28.3℃,43.2%,44.3%,48.6%,38.4%,38.1%,33.1%,8.78,7.55,1.10,0.13,8.70,3.55,82.03,20.02,0.13,1.936,14,(14.3%),4,1,262,(71.0%),8,(25.0%),11,1,4,18,(77.8%),9,(22.2%),39,(59.0%),43,0,0,0,0,24,7,114,12.3%,40.5%
第21節,アルビレックス新潟,大宮アルディージャ,2,1,1,3,2019.7.6 19:00 Kick Off,晴,全面良芝,"17,007人",25.1℃,40.8%,51.3%,62.4%,45.5%,41.5%,49.6%,13.74,11.07,1.06,1.61,7.20,5.22,88.57,18.00,0.19,1.113,12,(16.7%),4,0,380,(75.0%),17,(11.8%),15,1,2,27,(74.1%),12,(58.3%),20,(65.0%),30,1,2,1,0,36,11,121,9.9%,48.9%
第22節,アルビレックス新潟,横浜ＦＣ,0,2,1,0,2019.7.13 19:00 Kick Off,晴,全面良芝,"16,638人",24.1℃,45.4%,42.5%,65.2%,50.8%,44.7%,51.2%,18.38,13.03,3.05,2.29,14.38,0.00,88.36,12.58,0.41,1.61,18,(0.0%),5,0,469,(78.0%),21,(28.6%),10,0,6,25,(76.0%),16,(62.5%),17,(70.6%),16,0,3,1,0,46,10,119,15.1%,49.6%
第23節,レノファ山口ＦＣ,アルビレックス新潟,2,2,0,1,2019.7.20 19:00 Kick Off,雨,全面良芝,"3,662人",25.6℃,43.8%,46.2%,48.3%,45.7%,51.8%,53.5%,8.94,7.24,1.14,0.57,4.54,7.74,102.79,22.38,0.90,1.024,11,(18.2%),3,0,260,(38.1%),16,(12.5%),16,2,1,36,(47.2%),13,(30.8%),27,(77.8%),41,0,3,2,0,17,13,152,7.2%,48.6%
第24節,アルビレックス新潟,ＦＣ琉球,4,0,1,3,2019.7.27 19:00 Kick Off,曇のち雨,全面良芝,"14,088人",29.6℃,42.5%,40.0%,51.7%,44.7%,32.1%,30.4%,13.50,10.26,1.64,1.60,8.63,4.18,85.56,23.31,1.76,3.097,16,(18.8%),4,1,272,(63.6%),15,(20.0%),13,1,8,8,(87.5%),14,(50.0%),28,(67.9%),32,3,3,0,0,29,12,112,14.3%,39.6%
第25節,ＦＣ町田ゼルビア,アルビレックス新潟,3,3,0,1,2019.7.31 19:00 Kick Off,晴,全面良芝,"4,092人",29.5℃,50.6%,39.6%,45.2%,33.9%,34.6%,51.3%,11.34,8.59,0.58,2.17,6.12,9.37,74.88,20.15,0.19,1.125,10,(30.0%),3,0,258,(50.0%),16,(6.3%),11,1,8,41,(63.4%),14,(42.9%),30,(46.7%),31,1,3,1,0,18,14,140,7.1%,42.2%
第26節,アルビレックス新潟,徳島ヴォルティス,4,0,1,3,2019.8.4 18:00 Kick Off,晴,全面良芝,"13,445人",29.5℃,25.4%,45.3%,39.2%,44.3%,30.9%,41.3%,10.93,7.41,1.54,1.99,5.98,16.01,70.58,17.58,0.44,0.94,11,(36.4%),5,0,283,(72.1%),9,(33.3%),7,1,4,23,(100.0%),17,(23.5%),26,(73.1%),22,1,0,2,0,25,9,112,9.8%,37.9%
第27節,モンテディオ山形,アルビレックス新潟,2,0,0,0,2019.8.11 19:00 Kick Off,晴,全面良芝,"18,721人",27.3℃,56.2%,53.7%,58.7%,66.2%,66.0%,71.5%,16.39,14.06,1.55,0.78,5.04,0.00,74.70,8.65,0.32,1.717,12,(0.0%),3,0,518,(76.8%),19,(15.8%),13,1,6,41,(90.2%),9,(55.6%),30,(56.7%),12,2,4,3,0,44,11,143,8.4%,62.9%
第28節,アルビレックス新潟,ファジアーノ岡山,0,3,1,0,2019.8.17 19:00 Kick Off,晴,全面良芝,"14,583人",27.9℃,44.6%,40.2%,58.4%,60.6%,70.0%,65.4%,19.18,16.14,2.07,0.97,3.83,0.00,62.66,8.80,0.00,1.699,16,(0.0%),2,0,517,(84.1%),18,(22.2%),8,1,6,26,(84.6%),11,(45.5%),13,(76.9%),18,3,0,4,0,47,16,96,16.7%,57.8%
第29節,アルビレックス新潟,ツエーゲン金沢,2,3,1,0,2019.8.24 19:00 Kick Off,曇,全面良芝,"13,608人",25.9℃,67.0%,59.2%,50.4%,64.7%,63.9%,54.4%,21.25,16.19,2.21,2.85,15.18,1.61,104.81,10.67,0.30,3.782,20,(10.0%),9,2,556,(77.2%),18,(22.2%),14,1,8,31,(87.1%),16,(56.3%),20,(70.0%),9,2,1,1,0,42,16,149,13.4%,59.7%
第30節,柏レイソル,アルビレックス新潟,1,1,0,1,2019.8.31 19:00 Kick Off,曇,全面良芝,"12,926人",27.7℃,44.9%,35.8%,45.0%,40.9%,34.8%,42.0%,11.98,9.28,1.10,1.60,10.02,3.18,74.29,17.47,0.88,0.678,12,(8.3%),7,0,300,(68.7%),14,(14.3%),12,1,6,28,(85.7%),15,(40.0%),20,(65.0%),26,1,2,2,0,22,8,131,9.2%,40.8%
第31節,アルビレックス新潟,ジェフユナイテッド千葉,2,1,1,3,2019.9.7 19:00 Kick Off,晴,全面良芝,"14,232人",29.5℃,42.5%,45.7%,46.2%,40.0%,25.9%,34.4%,9.18,8.50,0.00,0.68,5.54,9.26,65.88,22.71,0.75,0.322,7,(28.6%),4,0,338,(73.1%),5,(0.0%),15,4,0,21,(76.2%),8,(50.0%),16,(68.8%),29,0,3,0,0,18,5,116,6.0%,39.5%
第32節,アルビレックス新潟,東京ヴェルディ,1,1,1,1,2019.9.14 19:00 Kick Off,曇,全面良芝,"13,990人",25.6℃,35.6%,44.9%,34.2%,46.2%,42.3%,40.2%,11.91,11.39,0.00,0.52,6.26,2.61,69.19,18.18,0.66,0.499,11,(9.1%),4,0,347,(80.7%),9,(0.0%),7,1,6,16,(81.3%),10,(20.0%),22,(72.7%),24,0,3,1,0,44,9,98,11.2%,40.3%
第33節,ヴァンフォーレ甲府,アルビレックス新潟,1,1,0,1,2019.9.21 18:00 Kick Off,曇,全面良芝,"8,321人",21.7℃,41.1%,47.0%,38.5%,42.0%,55.9%,48.0%,13.06,8.64,2.81,1.61,6.30,2.61,70.46,17.31,0.21,1.553,13,(7.7%),3,0,380,(74.5%),13,(38.5%),12,2,5,17,(88.2%),10,(60.0%),23,(69.6%),25,4,1,0,0,25,10,112,11.6%,45.7%
第34節,アルビレックス新潟,水戸ホーリーホック,3,0,1,3,2019.9.28 14:00 Kick Off,曇時々雨,全面良芝,"13,089人",24.2℃,56.9%,57.4%,37.2%,29.5%,30.0%,46.7%,13.35,12.47,0.53,0.36,9.97,8.75,60.54,21.05,0.73,1.851,13,(23.1%),7,1,376,(73.7%),9,(11.1%),12,0,0,19,(100.0%),7,(57.1%),20,(60.0%),34,2,1,2,0,35,13,107,12.1%,44.1%
第35節,アルビレックス新潟,鹿児島ユナイテッドＦＣ,6,0,1,3,2019.10.5 14:00 Kick Off,曇,全面良芝,"12,583人",23.1℃,50.7%,48.7%,56.7%,28.6%,35.4%,51.4%,13.10,8.60,2.91,1.58,12.52,12.27,95.85,19.11,0.13,2.36,14,(35.7%),10,0,396,(76.8%),11,(45.5%),13,2,3,24,(95.8%),11,(45.5%),20,(90.0%),25,3,5,1,0,28,9,127,11.0%,46%
第36節,愛媛ＦＣ,アルビレックス新潟,0,1,0,3,2019.10.13 15:00 Kick Off,晴,全面良芝,"4,420人",23.5℃,29.1%,33.1%,42.4%,43.6%,42.8%,30.9%,14.22,11.12,1.74,1.35,5.88,5.43,58.18,18.64,0.25,1.071,13,(7.7%),3,0,334,(76.3%),9,(33.3%),12,1,4,18,(100.0%),12,(50.0%),24,(79.2%),26,2,1,0,0,24,14,101,12.9%,36.3%
第37節,アビスパ福岡,アルビレックス新潟,2,1,0,0,2019.10.19 14:00 Kick Off,晴,全面良芝,"6,655人",23.3℃,38.5%,56.3%,50.2%,63.3%,57.8%,67.8%,30.98,23.51,4.82,2.65,14.36,2.90,78.23,9.05,0.30,3.069,26,(3.8%),7,0,607,(82.9%),32,(28.1%),4,0,7,24,(100.0%),17,(47.1%),9,(88.9%),10,1,3,0,0,51,26,106,24.5%,54.7%
第38節,アルビレックス新潟,京都サンガF.C.,3,1,1,3,2019.10.27 14:00 Kick Off,曇時々晴,全面良芝,"17,022人",17.3℃,41.4%,53.3%,30.6%,30.6%,46.2%,37.0%,15.60,12.06,2.72,0.82,13.57,6.22,95.41,17.89,0.54,1.939,15,(20.0%),10,1,447,(80.8%),14,(35.7%),10,0,4,10,(90.0%),9,(55.6%),25,(60.0%),18,6,2,0,0,41,15,112,13.4%,40%
第39節,栃木ＳＣ,アルビレックス新潟,2,1,0,0,2019.11.3 14:00 Kick Off,晴のち曇,良芝,"6,873人",18.9℃,49.4%,76.9%,71.2%,66.3%,72.3%,59.2%,16.16,12.31,1.62,2.22,4.96,3.01,85.35,19.45,0.55,0.74,6,(16.7%),2,0,539,(76.3%),17,(17.6%),11,1,1,33,(97.0%),13,(76.9%),12,(66.7%),28,3,0,1,0,33,8,138,4.3%,65.2%
第40節,アルビレックス新潟,ＦＣ岐阜,2,0,1,3,2019.11.9 14:00 Kick Off,晴時々曇,全面良芝,"12,583人",15.5℃,65.1%,60.1%,70.7%,55.5%,49.8%,54.2%,26.61,21.82,1.11,3.69,9.57,4.54,63.36,13.30,0.64,1.57,13,(15.4%),8,0,766,(89.2%),16,(12.5%),10,2,9,10,(90.0%),21,(52.4%),19,(63.2%),11,4,0,1,0,51,14,101,12.9%,59.4%
第41節,大宮アルディージャ,アルビレックス新潟,1,1,0,1,2019.11.16 14:00 Kick Off,晴,全面良芝,"11,919人",17.4℃,48.9%,58.7%,51.6%,67.2%,60.6%,48.8%,22.41,17.38,2.80,2.23,8.07,4.12,76.69,22.04,0.67,1.014,13,(7.7%),5,0,539,(82.7%),13,(38.5%),12,1,3,19,(100.0%),18,(50.0%),33,(69.7%),34,2,0,1,0,35,13,127,10.2%,56.3%
第42節,アルビレックス新潟,Ｖ・ファーレン長崎,2,1,1,3,2019.11.24 14:00 Kick Off,晴,全面良芝,"16,814人",19.8℃,49.3%,43.0%,54.2%,50.5%,55.0%,48.9%,16.57,15.44,0.53,0.61,7.19,6.38,67.28,20.72,0.72,1.323,14,(14.3%),4,0,493,(83.0%),12,(8.3%),12,1,4,16,(100.0%),11,(36.4%),27,(55.6%),32,4,1,1,0,42,14,115,12.2%,50%
第1節,ザスパクサツ群馬,アルビレックス新潟,0,3,0,3,2020.2.23 14:00 Kick Off,晴,全面良芝,"11,038人",12℃,60.5%,58.2%,64.9%,53.9%,56.8%,44.5%,15.50,13.46,1.12,0.91,8.98,9.80,69.51,13.99,0.00,1.577,13,(23.1%),5,0,526,(73.4%),24,(8.3%),12,0,2,39,(76.9%),14,(42.9%),22,(54.5%),31,2,5,4,0,37,12,133,9.8%,56.5%
第2節,ヴァンフォーレ甲府,アルビレックス新潟,3,3,0,1,2020.6.27 18:00 Kick Off,曇のち晴,全面良芝,0人,28.3℃,64.6%,42.9%,67.3%,62.6%,51.4%,44.5%,13.00,9.98,0.97,2.05,11.04,11.05,55.35,17.26,0.73,1.335,17,(17.6%),6,0,491,(81.3%),12,(16.7%),9,3,4,18,(94.4%),15,(60.0%),8,(62.5%),32,2,3,3,0,29,10,106,16.0%,55.1%
第3節,アルビレックス新潟,ツエーゲン金沢,3,5,1,0,2020.7.4 18:00 Kick Off,雨,全面良芝,0人,24℃,67.7%,60.5%,69.3%,77.9%,71.9%,77.1%,29.67,25.44,1.70,2.53,16.05,5.61,81.29,8.80,0.21,3.878,24,(12.5%),7,1,805,(87.6%),19,(15.8%),17,0,10,28,(85.7%),23,(47.8%),16,(81.3%),9,3,1,1,0,67,20,141,17.0%,71%
第4節,アルビレックス新潟,松本山雅ＦＣ,1,0,1,3,2020.7.11 18:00 Kick Off,曇,全面良芝,"3,567人",25℃,64.3%,48.0%,72.1%,55.0%,52.5%,44.7%,14.25,11.58,0.52,2.15,9.26,2.96,56.23,16.09,0.24,0.98,12,(8.3%),3,0,453,(80.6%),6,(16.7%),15,1,6,29,(82.8%),11,(54.5%),21,(52.4%),24,2,1,0,0,30,8,113,10.6%,56.2%
第5節,ＦＣ町田ゼルビア,アルビレックス新潟,3,3,0,1,2020.7.15 19:00 Kick Off,雨,全面良芝,508人,19.2℃,55.2%,68.8%,72.0%,65.3%,70.4%,65.4%,18.10,14.73,1.56,1.80,12.27,9.81,110.75,8.01,0.08,2.041,18,(16.7%),4,0,646,(82.0%),16,(18.8%),7,5,9,26,(84.6%),20,(45.0%),30,(80.0%),13,4,2,2,0,36,10,127,14.2%,66.1%
第6節,アルビレックス新潟,モンテディオ山形,1,1,1,1,2020.7.19 18:00 Kick Off,晴,全面良芝,"3,766人",25.3℃,57.8%,61.4%,61.1%,70.1%,51.0%,58.4%,13.09,10.97,1.09,1.04,7.45,2.65,45.73,11.14,0.49,1.724,16,(6.3%),3,0,465,(82.2%),14,(14.3%),13,2,9,22,(59.1%),12,(66.7%),8,(25.0%),18,6,2,2,0,34,7,99,16.2%,59.8%
第7節,アルビレックス新潟,水戸ホーリーホック,1,0,1,3,2020.7.25 18:00 Kick Off,曇時々雨,全面良芝,"3,861人",26.4℃,56.8%,50.5%,52.8%,59.6%,52.7%,34.2%,13.97,10.44,2.18,1.35,8.83,5.11,76.34,18.67,0.20,0.978,14,(7.1%),5,0,448,(78.8%),11,(36.4%),12,2,5,16,(68.8%),12,(50.0%),20,(70.0%),24,1,2,1,0,28,6,109,12.8%,50.6%
第8節,東京ヴェルディ,アルビレックス新潟,1,1,0,1,2020.7.29 19:00 Kick Off,曇,全面良芝,"1,512人",23.3℃,40.9%,39.1%,54.0%,39.6%,43.7%,55.6%,12.71,11.64,1.04,0.03,7.53,2.93,89.04,12.01,0.12,1.322,13,(7.7%),4,0,464,(76.3%),6,(33.3%),13,4,5,17,(70.6%),9,(11.1%),15,(60.0%),14,2,4,0,0,32,4,116,11.2%,46.9%
